From	Entry	Reviewed
NP_663729.1	Q8N5M1	reviewed
NP_005302.3	Q13322	reviewed
NP_004872.2	Q53FA7	reviewed
NP_061834.1	P57075	reviewed
NP_055446.2	Q5TCZ1	reviewed
NP_055446.2	B3KPL1	unreviewed
NP_071939.1	Q9H6R6	reviewed
NP_003071.2	O60906	reviewed
NP_001991.1	P24071	reviewed
NP_002978.1	Q92583	reviewed
NP_004334.1	P27797	reviewed
NP_004334.1	V9HW88	unreviewed
NP_057285.3	Q9Y2J4	reviewed
NP_057341.1	Q9UM19	reviewed
NP_006571.1	Q9Y5I7	reviewed
NP_000826.2	Q14957	reviewed
NP_000826.2	O15398	unreviewed
NP_114122.2	Q96C74	reviewed
NP_787062.1	Q8TAS1	reviewed
NP_037379.1	O43464	reviewed
NP_037379.1	A0A384MDW9	unreviewed
NP_443193.1	Q96RN1	reviewed
NP_443193.1	A0A024RCV0	unreviewed
NP_001634.1	P02652	reviewed
NP_001744.2	Q03135	reviewed
NP_001744.2	Q2TNI1	unreviewed
NP_001744.2	Q59E85	unreviewed
NP_002058.2	P29992	reviewed
NP_680090.1	P07858	reviewed
NP_680090.1	A0A024R374	unreviewed
NP_059990.2	Q99549	reviewed
NP_061324.1	Q9UKB5	reviewed
NP_005894.3	Q99717	reviewed
NP_005894.3	Q68DB7	unreviewed
NP_056016.1	Q14137	reviewed
NP_002746.1	Q02750	reviewed
NP_002746.1	A4QPA9	unreviewed
NP_001036.1	P31645	reviewed
NP_001036.1	B2R7Y7	unreviewed
NP_001012661.1	Q86VE0	reviewed
NP_005334.1	P01112	reviewed
NP_005334.1	X5D945	unreviewed
NP_004485.1	P51858	reviewed
NP_004485.1	A0A384NPW1	unreviewed
NP_001002862.1	Q96Q80	reviewed
NP_004037.1	P25705	reviewed
NP_004037.1	V9HW26	unreviewed
NP_004413.1	O14641	reviewed
NP_060972.3	Q96DC7	reviewed
NP_733787.1	Q8TD17	reviewed
NP_733787.1	A0A090N7S8	unreviewed
NP_006638.1	Q86UR1	reviewed
NP_006692.1	P83876	reviewed
NP_005692.1	O95149	reviewed
NP_003042.3	P53985	reviewed
NP_003042.3	A0A024R0H1	unreviewed
NP_085142.1	Q6PI77	reviewed
NP_001026897.1	Q9BV20	reviewed
NP_055194.1	Q6PIU1	reviewed
NP_057235.2	Q9UL54	reviewed
NP_000449.1	P35680	reviewed
NP_000449.1	Q6FHW6	unreviewed
NP_065095.2	Q9GZP4	reviewed
NP_000467.1	P00568	reviewed
NP_000467.1	Q6FGX9	unreviewed
NP_005076.3	P35658	reviewed
NP_002721.1	P17612	reviewed
NP_002721.1	A0A024R7J0	unreviewed
NP_001378.1	Q14195	reviewed
NP_001378.1	Q8IXW6	unreviewed
NP_004642.2	P51784	reviewed
NP_005046.2	Q13702	reviewed
NP_005046.2	A0A0S2Z4F8	unreviewed
NP_055586.1	O75150	reviewed
NP_004549.1	Q99748	reviewed
NP_036313.3	Q14318	reviewed
NP_006604.1	Q13588	reviewed
NP_001005360.1	P50570	reviewed
NP_872282.1	Q9Y2Z9	reviewed
NP_015568.2	Q9UGM3	reviewed
NP_689932.1	Q8NA61	reviewed
NP_689932.1	A0A140VJV5	unreviewed
NP_001711.2	P34820	reviewed
NP_000632.1	P20809	reviewed
NP_000632.1	A8K3F7	unreviewed
NP_000405.1	P51659	reviewed
NP_000405.1	A0A0S2Z4J1	unreviewed
NP_000405.1	B2R659	unreviewed
NP_003017.1	Q99962	reviewed
NP_003017.1	Q7Z376	unreviewed
NP_001649.1	P84077	reviewed
NP_001649.1	A0A024R3Q0	unreviewed
NP_001001331.1	Q01814	reviewed
NP_068775.1	Q13002	reviewed
NP_068775.1	A8K0H7	unreviewed
NP_068775.1	Q8IY40	unreviewed
NP_852608.1	Q9UPZ3	reviewed
NP_001266.1	P10645	reviewed
NP_001266.1	Q86T07	unreviewed
NP_004434.2	P54753	reviewed
NP_057123.1	Q9Y224	reviewed
NP_057123.1	Q549M8	unreviewed
NP_775293.1	O14983	reviewed
NP_775293.1	Q7Z675	unreviewed
NP_006597.2	O75884	reviewed
NP_008842.1	P04808	reviewed
NP_003730.4	P42330	reviewed
NP_703143.1	Q8NDV2	reviewed
NP_001020029.1	P11277	reviewed
NP_001880.2	Q08257	reviewed
NP_057409.1	Q96GC6	reviewed
NP_057234.2	Q96Q27	reviewed
NP_055529.2	Q96RY7	reviewed
NP_001640.1	Q13796	reviewed
NP_077720.1	P23582	reviewed
NP_077720.1	E5LCN7	unreviewed
NP_055838.2	Q8N5D0	reviewed
NP_079051.9	Q8WXD5	reviewed
NP_071918.1	Q9H2Y7	reviewed
NP_001743.1	P04040	reviewed
NP_001743.1	A0A384P5Q0	unreviewed
NP_036379.2	P49903	reviewed
NP_002326.2	O75197	reviewed
NP_004995.1	O95169	reviewed
NP_001553.1	Q14116	reviewed
NP_783552.1	Q06455	reviewed
NP_000729.2	P11229	reviewed
NP_000729.2	Q53XZ3	unreviewed
NP_001005861.1	P34925	reviewed
NP_001005861.1	Q59FQ5	unreviewed
NP_001005861.1	Q8WTZ8	unreviewed
NP_056340.2	Q9P2D0	reviewed
NP_003653.1	O00625	reviewed
NP_003653.1	A0A024RBX6	unreviewed
NP_036325.2	Q9ULV1	reviewed
NP_071394.2	Q9HAW4	reviewed
NP_002020.1	P21462	reviewed
NP_003734.3	Q15788	reviewed
NP_079441.1	Q9HB65	reviewed
NP_005810.1	O43752	reviewed
NP_075060.1	Q9H3R5	reviewed
NP_075060.1	A0A0S2Z5T0	unreviewed
NP_002207.2	P19823	reviewed
NP_057228.1	Q9Y6G5	reviewed
NP_031381.2	P08238	reviewed
NP_031381.2	A0A024RD80	unreviewed
NP_057103.2	Q9Y383	reviewed
NP_001001563.1	Q3ZCQ8	reviewed
NP_001001563.1	A0A024R0M6	unreviewed
NP_055915.2	Q7Z3K3	reviewed
NP_003312.3	P49411	reviewed
NP_003312.3	A0A384ME17	unreviewed
NP_060904.2	Q86XS8	reviewed
NP_060904.2	Q2HIY3	unreviewed
NP_002287.2	Q14739	reviewed
